year,ID,care,harm,fairness,cheating,authority,subversion,loyalty,betrayal,purity,degradation
2004,D3,0.468550596,0.45388532,0.426541242,0.360084232,0.44548391,0.347076508,0.423754359,0.327606154,0.320692898,0.333249376
2004,R1,0.485963445,0.463959537,0.426785786,0.355920076,0.449650661,0.384234258,0.440090654,0.367876233,0.341053955,0.352874089
2004,R2,0.466476188,0.454521817,0.419594127,0.358986486,0.432426011,0.361309918,0.415392444,0.345190793,0.335302582,0.350208436
2004,R3,0.484817287,0.455799789,0.441807527,0.363314614,0.448192239,0.355228803,0.432875229,0.329027368,0.327932687,0.337141674
2008,D1,0.452480109,0.442019866,0.415847796,0.345797617,0.418649668,0.336578489,0.410829651,0.321715664,0.312768526,0.314673415
2008,D2,0.456885101,0.444505011,0.414653986,0.353279845,0.412464449,0.330704654,0.407804911,0.319977222,0.314149472,0.32103211
2008,D3,0.456233118,0.439132616,0.426498172,0.36338168,0.421850578,0.328753081,0.406778245,0.313466024,0.312163894,0.322094778
2008,R1,0.467754704,0.459319639,0.422885499,0.353773404,0.440224157,0.370207685,0.438767184,0.342717656,0.325670496,0.332340914
2008,R2,0.473043544,0.456768907,0.424846344,0.355063289,0.431794223,0.347305002,0.422820885,0.331386011,0.32741508,0.328362383
2008,R3,0.473351317,0.457024523,0.429071835,0.372287101,0.439003399,0.353789822,0.431076278,0.334987777,0.325161352,0.339565511
2012,D1,0.447115538,0.436868551,0.410362401,0.357224309,0.408324419,0.317451108,0.398375169,0.309995728,0.308729613,0.314856962
2012,D2,0.448098161,0.435815336,0.408653138,0.345389227,0.412188141,0.326873027,0.403813334,0.317506618,0.324196619,0.328391602
2012,D3,0.462276569,0.437286285,0.423681467,0.333373393,0.428915103,0.335810208,0.432973072,0.324248661,0.320920534,0.307900168
2012,R1,0.437572504,0.440080414,0.402003529,0.347992025,0.404362276,0.318230156,0.385842069,0.305611041,0.310309262,0.320196396
2012,R2,0.440305588,0.430988931,0.399821747,0.337028659,0.411622022,0.32115481,0.400009847,0.306859713,0.305198789,0.315814586
2012,R3,0.469842404,0.450731417,0.430248011,0.335746448,0.433825338,0.350833,0.438430625,0.327972579,0.325316889,0.316925907
2016,D1,0.458800164,0.445768429,0.415864546,0.352720519,0.424898838,0.343148066,0.410110991,0.327391073,0.316051701,0.327579361
2016,D2,0.464809764,0.444784514,0.41329973,0.355977902,0.429673017,0.348655944,0.414702979,0.331581229,0.32226271,0.335115438
2016,D3,0.469644443,0.453033026,0.420436236,0.359649497,0.440114274,0.358427455,0.42358641,0.332204242,0.32085618,0.330096515
2016,R1,0.42748515,0.430989324,0.386541613,0.340321861,0.397851685,0.32170582,0.381437188,0.319833817,0.31632406,0.336969163
2016,R2,0.434758465,0.439136076,0.386722329,0.34414621,0.392932305,0.334710539,0.383415776,0.330434747,0.3209858,0.352724512
2016,R3,0.429450964,0.438491818,0.382895487,0.334847732,0.39450022,0.331228371,0.382269144,0.325055069,0.313055137,0.338021764
2020,D2,0.443998666,0.44615286,0.398477822,0.343509294,0.421025357,0.340132776,0.389533669,0.328470083,0.315052221,0.334503523
2020,R2,0.418870346,0.430164887,0.370018299,0.325677905,0.388222904,0.32205982,0.372141795,0.321736189,0.313257976,0.338943357
2020,D1,0.44370947,0.443275432,0.393995591,0.350907447,0.415319049,0.347629971,0.390954189,0.33726928,0.320251898,0.346008998
2020,R1,0.412787181,0.432281317,0.365202247,0.328487754,0.38526511,0.328540583,0.36366381,0.327302804,0.309841727,0.343346959
