"","speaker","date","care.virtue","care.vice","fairness.virtue","fairness.vice","loyalty.virtue","loyalty.vice","authority.virtue","authority.vice","sanctity.virtue","sanctity.vice"
"38","MR. FRANKEL","October 6, 1976",0.220507166482911,0.330760749724366,0,0,0.551267916207277,0.110253583241455,1.10253583241455,0,0,0.110253583241455
"39","MR. CARTER","October 6, 1976",0.153793574846206,0.444292549555707,0.239234449760766,0.0341763499658237,1.96514012303486,0.0341763499658237,1.0082023239918,0.0854408749145591,0.153793574846206,0.0170881749829118
"40","MR. FORD","October 6, 1976",0.164203612479475,0.061576354679803,0.246305418719212,0.0410509031198686,2.05254515599343,0,1.16995073891626,0,0.14367816091954,0.0205254515599343
"41","MR. TREWHITT","October 6, 1976",0.159235668789809,0.159235668789809,0.318471337579618,0,0.636942675159236,0,2.22929936305732,0,0,0
"42","MR. VALERIANI","October 6, 1976",0.276243093922652,0,0,0,1.65745856353591,0.276243093922652,1.93370165745856,0,0,0
"43","MS. FREDERIC","October 6, 1976",0,0,0,0,0,0,10,0,0,0
"44","MR. REYNOLDS","September 23, 1976",0.287769784172662,0,0,0,0.575539568345324,0,1.8705035971223,0,0,0
"45","MR. CARTER","September 23, 1976",0.47534165181224,0.05941770647653,0.252525252525253,0.0742721330956625,0.83184789067142,0.029708853238265,0.846702317290553,0,0.0445632798573975,0.11883541295306
"46","MR. NEWMAN","September 23, 1976",0.186219739292365,0,0.186219739292365,0,0,0,6.14525139664805,0,0,0
"47","MR. FORD","September 23, 1976",0.250433442496629,0.0577923328838374,0.250433442496629,0.0192641109612791,0.67424388364477,0.0577923328838374,1.25216721248314,0.0192641109612791,0.0770564438451165,0.0770564438451165
"48","MR. GANNON","September 23, 1976",0,0.333333333333333,0.333333333333333,0,0,0,1.16666666666667,0,0,0
"49","MS. DREW","September 23, 1976",1.5220700152207,0,0.45662100456621,0,0.30441400304414,0,1.97869101978691,0.15220700152207,0,0
"50","MR. REAGAN","October 28, 1980",0.379350156688108,0.24740227610094,0.445324096981692,0.0989609104403761,0.74220682830282,0,0.98960910440376,0.032986970146792,0.0989609104403761,0.065973940293584
"51","MR. SMITH","October 28, 1980",0.125470514429109,0.125470514429109,0,0,0.250941028858218,0,6.64993726474279,0,0.125470514429109,0
"52","MR. STONE","October 28, 1980",0,0,0,0,0.193798449612403,0,1.74418604651163,0,0,0
"53","MR. CARTER","October 28, 1980",0.528289025221541,0.221540558963872,0.323790047716428,0.119291070211316,1.46557600545331,0,1.68711656441718,0,0.0340831629175187,0.0340831629175187
"54","MR. ELLIS","October 28, 1980",0.302114803625378,0.604229607250755,0,0,1.20845921450151,0,2.41691842900302,0,0,0
"55","MR. HILLIARD","October 28, 1980",0.53475935828877,0,0,0,2.40641711229947,0,1.33689839572193,0,0,0
"56","BARBARA WALTERS","October 28, 1980",0,0,0,0,2.67857142857143,0,1.78571428571429,0,0,0
"57","MS. WALTERS","October 28, 1980",0,0.4149377593361,0,0,2.69709543568465,0,0.829875518672199,0,0,0
"58","REAGA N ","October 28, 1980",0,0.869565217391304,0,0,0,0,0.869565217391304,0,0,0
"59","HARRY ELLIS","October 28, 1980",0,0.87719298245614,0,0,1.75438596491228,0,0.87719298245614,0,0,0
"60","MS. RIDINGS","October 21, 1984",0,0,0,0,0,0,2.80373831775701,0,0,0
"61","MR. NEWMAN","October 21, 1984",0,0,0,0,0,0,3.06122448979592,0,0,0
